pe506	Lasso, Orlando di
pe30023354	Komorowski, Ignacy Marceli
pe30023932	Malik, Jan
pe30024097	Stefani, Józef
pe30024099	Troschel, Wilhelm
pe30024244	Bogoimski, Tadeusz
pe30024257	Boguński, Baltazar
pe30024266	Wronowicz, Maciej H.
pe30025416	Leszczyński, Władysław
pe30025739	Brykner, Jerzy
pe30035788	Janisch
pe30040495	Klose, Karol
pe30040593	Studziński, Karol
pe30040596	Morawski, Józef Bernard
pe30040598	Kottritsch, Franciszek
pe30040643	Boczkowski, Kazimierz
pe30040944	Fertner, Karol
pe30060120	Koperski, Maksymilian
pe30084071	Zangl, Johann Baptist
pe30085801	Brzezińska, Filipina
pe30085804	Bułakowski, Stefan
pe30085911	Cybulski, Izydor Józef
pe30085913	Czajkowski, Konstanty
pe30085945	Danielski, Florian
pe30085946	Danka
pe30086110	Daubeck, Józef
pe30093197	Figulenti
pe30093579	Fleming, Jan
pe30096330	Gimeshoffer
pe30096425	Gostowski
pe30096438	Borimius, Jan
pe30097226	Piech, Wawrzyniec
pe30097723	Łukaszewicz, Maciej
pe30098283	Jeric
pe30098311	Just, Franciszek Kasper
pe30098316	Kasprzykowski, Ignacy
pe30098443	Kietliński, Albert
pe30099477	Kraus, Józef
pe30099691	Kreith
pe30100063	Kruszyński, Józef
pe30100064	Krzyżanowski, Ignacy
pe30102132	Lubomirska, Ludwika
pe30102207	Maintzer, Franz
pe30102233	Maletz, Korneliusz
pe30102784	Samin, Vulfran
pe30105639	Miskiewicz, Maciej Arnulf
pe30105642	Pękiel, Bartłomiej
pe30105799	Maxylewicz, Wincenty
pe30105808	Hérissant, Jehan
pe30105858	Krener, Jan
pe30105867	Paszkiewicz, Andrzej
pe30107352	Neumann, Wawrzyniec
pe30108913	Piotrowski, Franciszek
pe30110258	Rutha, Jan
pe30110281	Rygall, Ignacy
pe30111147	Łodwigowski, Edward Stefan
pe30111815	Szlagórski, Walenty
pe30113022	Chodkiewicz, Zofia
pe30115112	Dembowska, Konstancja
pe41001558	Jarecki, Józef
pe41009558	Janicki, Mikołaj
pe41010076	Ruth, Christian Joseph
pe41010079	Luna, Georgius
pe41010086	Wołoszko, Andrzej
pe41010092	Rhein, Carolo de
pe41011487	Siwiński, Andrzej
pe41012326	Zajączkowski, Roman
pe41012328	Krzewdzieński, Paweł
pe41012330	Sieprawski, Paweł
pe41012679	Zandtfelder, Nicolaus Joseph Ignatius
pe41013803	Władysław z Gielniowa
pe41014837	Hermanowski, A.
pe41020479	Renner, Josef
pe41020834	Pottier, Matthias
pe41021072	Puchalski
pe41021407	Barcicki, Jan
pe41021472	Majewska, J.
pe41021473	Kuttricz, Lania
pe41021477	Stolpe, Alojzy
pe41022084	Rossochalski
pe41022175	Filipowicz, P.
pe41022824	Stolle
pe41022861	Kamiński, F.
pe41023091	Studziński, Wincenty
pe41023359	Hertz, Michał
pe41023611	Ćwiklicz, Bolesław Jan
pe41024148	Rudkowski, Mateusz
pe41024636	Turczyński, Paschalis
pe41024639	Hantuch, Caietano
pe41024678	Kotowicz
pe41024789	Wysocki, Kasper Napoleon
